% 1. Title: Adversarial Recognition
% 
% 2. Sources:
%      (a) Creator: Melanie Ducoffe
%      (b) Date: March, 7, 2017
% 
@RELATION adversarial_fisher

@ATTRIBUTE pred0  NUMERIC
@ATTRIBUTE class        {0, 1}
@DATA
0.0375802,0
0.0755633,0
0.176341,0
0.00018329,0
5.37E-008,0
0.0210029,0
0.0770881,0
0.0116916,0
8.54E-007,0
0.00413243,0
0.000727175,0
6.40E-005,0
4.50E-008,0
0.0253811,0
0.051201,0
0.0428011,0
0.0109337,0
0.0180322,0
0.00326771,0
0.00967092,0
1.61E-006,0
0.0652275,0
7.74E-008,0
0.0276468,0
0.0107374,0
0.0323017,0
0.00492742,0
0.176152,0
0.0353224,0
0.0597115,0
0.0465896,0
0.0236399,0
0.000148247,0
0.00159408,0
0.000187828,0
0.0815668,0
0.00203757,0
0.0272615,0
2.75E-005,0
0.100531,0
0.00213907,0
0.0296205,0
0.0513649,0
0.000563494,0
2.03E-006,0
0.0275544,0
0.036629,0
4.03E-005,0
0.00746748,0
0.00292505,0
0.00467407,0
0.0230993,0
0.00283542,0
0.0914996,0
0.000194818,0
0.0294249,0
0.0194523,0
0.0543071,0
0.0216147,0
0.0169786,0
0.0815993,0
0.0139097,0
0.00123032,0
0.0200823,0
0.014229,0
0.000472871,0
0.129002,0
0.0412111,0
0.0204279,0
3.14E-005,0
0.0281388,0
0.000911682,0
0.000333896,0
0.0708588,0
0.075989,0
3.59E-005,0
1.78E-006,0
0.012383,0
0.00797118,0
0.0422748,0
0.0147704,0
0.0104587,0
0.0190159,0
0.0505746,0
0.00311712,0
0.0460236,0
8.87E-006,0
0.00362933,0
0.0193193,0
9.84E-005,0
0.00593152,0
0.0158426,0
0.0642369,0
0.0121587,0
0.000119308,0
0.0160049,0
0.000829578,0
0.0178032,0
0.0306147,0
0.0376501,0
0.00125327,0
1.57E-006,0
0.0235399,0
0.00203353,0
1.18E-007,0
0.0752814,0
0.0162104,0
0.00435603,0
0.000659357,0
0.129408,0
0.0341547,0
0.0153057,0
0.0394884,0
0.00093345,0
0.0717839,0
0.154209,0
0.00211568,0
0.00292223,0
0.00017096,0
0.0540657,0
0.0782046,0
0.00313288,0
0.0842391,0
2.37E-006,0
0.00206277,0
0.015708,0
0.041215,0
0.00282605,0
0.00358306,0
0.0567048,0
0.000173712,0
6.62E-005,0
0.0301972,0
0.0406171,0
0.0110115,0
0.00130693,0
0.0057248,0
0.058706,0
0.00477204,0
0.00123347,0
0.0692822,0
0.0292686,0
0.0428862,0
8.06E-006,0
0.00727377,0
0.0162649,0
0.0091998,0
0.0684853,0
0.00552614,0
0.0549582,0
0.010202,0
0.000855455,0
0.0373157,0
0.0606503,0
0.0174042,0
0.000677601,0
0.00164248,0
0.130597,0
0.0499266,0
0.0213903,0
0.052747,0
0.0157505,0
0.0248491,0
0.0376707,0
0.00803462,0
4.03E-006,0
0.0197007,0
0.0772838,0
0.113019,0
0.0161827,0
0.0469678,0
0.0777329,0
0.0378258,0
0.0406972,0
